old_name,new_name
J1.1.jpeg,1201U-1.jpeg
J1.2.jpeg,1201U-2.jpeg
J1.3.jpeg,1201U-3.jpeg
J2.1.jpeg,1202U-1.jpeg
J2.2.jpeg,1202U-2.jpeg
J2.3.jpeg,1202U-3.jpeg
J3.1.1.jpg,1203U-1.jpg
J3.1.2.jpg,1203U-2.jpg
J3.1.3.jpg,1203U-3.jpg
J4.1.jpeg,1204U-1.jpeg
J4.2.jpeg,1204U-2.jpeg
J4.3.jpeg,1204U-3.jpeg
J4.4.jpeg,1204U-4.jpeg
J5.1.jpeg,1205U-1.jpeg
J5.2.jpeg,1205U-2.jpeg
J5.3.jpeg,1205U-3.jpeg
J6.1.jpeg,1206U-1.jpeg
J6.2.jpeg,1206U-2.jpeg
J6.3.jpeg,1206U-3.jpeg
J6.5.jpeg,1206U-5.jpeg
J7.1.jpeg,1207U-1.jpeg
J7.3.jpeg,1207U-3.jpeg
J7.4.jpeg,1207U-4.jpeg
J7.5.jpeg,1207U-5.jpeg
J8.1.jpeg,1208U-1.jpeg
J9-1.jpeg,1209U-1.jpeg
J9-2.jpeg,1209U-2.jpeg
J9-3.jpeg,1209U-3.jpeg
J9-4.jpeg,1209U-4.jpeg
J9-F.jpeg,1209U-F.jpeg
J10-1.jpeg,1210U-1.jpeg
J10-2.jpeg,1210U-2.jpeg
J10-F.jpeg,1210U-F.jpeg
J11-1.jpeg,1211U-1.jpeg
J11-F.jpeg,1211U-F.jpeg
J12-3.jpeg,1212U-3.jpeg
J12-4.jpeg,1212U-4.jpeg
J12-F.jpeg,1212U-F.jpeg
J13-2.jpeg,1213U-2.jpeg
J13-3.jpeg,1213U-3.jpeg
J13-F.jpeg,1213U-F.jpeg
J14-1.jpeg,1214U-1.jpeg
J14-2.jpeg,1214U-2.jpeg
J14-3.jpeg,1214U-3.jpeg
J14-4.jpeg,1214U-4.jpeg
J14-F.jpeg,1214U-F.jpeg
J15-1.jpeg,1215U-1.jpeg
J15-2.jpeg,1215U-2.jpeg
J15-3.jpeg,1215U-3.jpeg
J15-F.jpeg,1215U-F.jpeg
J16-1.jpeg,1216U-1.jpeg
J16-2.jpeg,1216U-2.jpeg
J16-F.jpeg,1216U-F.jpeg
J17-1.jpeg,1217U-1.jpeg
J17-2.jpeg,1217U-2.jpeg
J17-3.jpeg,1217U-3.jpeg
J17-4.jpeg,1217U-4.jpeg
J17-5.jpeg,1217U-5.jpeg
J17-F.jpeg,1217U-F.jpeg
J18-1.jpeg,1218U-1.jpeg
J18-2.jpeg,1218U-2.jpeg
J18-3.jpeg,1218U-3.jpeg
J18-F.jpeg,1218U-F.jpeg
J19-1.jpeg,1219U-1.jpeg
